ID,이름,설명*,가챠 확률,희귀도(별),등급,역할,패시브,패시브 설명,기본속도,스킬,스킬 설명,스킬 타임,쿨타임,획득 방법 재화,중복시 지급 토큰,토큰 구매 가격
STAFF13,라라,정체불명의 치어리더 라라. 왕국의 공주님이라는 소문이 있는데?,0.6,2,노멀,치어리더,레스토랑으로 손님 자동 호출(1.0~7.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL05,음식 판매 수입 증가!,30초,200초,"가챠,토큰",5,40
STAFF14,와와,겉으론 까칠하지만 사실은 무대를 즐기는 치어리더 와와.,0.6,2,노멀,치어리더,레스토랑으로 손님 자동 호출(1.0~7.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,15초,160초,"가챠,토큰",5,40
STAFF15,폴,수줍은 치어리더 폴. 친구들과 함께 있는 것을 즐긴다.,0.6,2,노멀,치어리더,레스토랑으로 손님 자동 호출(1.0~7.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL08,손님 이동 속도 증가!,18초,150초,"가챠,토큰",5,40
STAFF16,도치,심드렁한 표정 뒤에 밤낮없이 연습하는 노력파 도치.,0.6,2,노멀,주방장,주방에서 맡은 음식 제작 시간 속도 (50%) 효율 증가,맡은 음식 제작 효율 상승,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF17,염소아치,양아치와 함께 뒷골목의 지배자 듀오. 사실은 바른생활 사나이.,0.6,2,노멀,주방장,주방에서 맡은 음식 제작 시간 속도 (50%) 효율 증가,맡은 음식 제작 효율 상승,6,STAFF_SKILL04,담당 음식 제작 속도 증가!,25초,160초,"가챠,토큰",5,40
STAFF18,루파,달콤한 실력을 갖고 있는 천재 요리사.,0.6,2,노멀,주방장,주방에서 맡은 음식 제작 시간 속도 (50%) 효율 증가,맡은 음식 제작 효율 상승,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF19,양아치,염소아치와 함께 뒷골목의 지배자 듀오. 사실은 바른생활 사나이.,0.6,2,노멀,주방장,주방에서 맡은 음식 제작 시간 속도 (50%) 효율 증가,맡은 음식 제작 효율 상승,6,STAFF_SKILL04,담당 음식 제작 속도 증가!,25초,160초,"가챠,토큰",5,40
STAFF20,포코,최고의 주방장을 꿈꾸는 품은 열혈 사나이 포코.,0.6,2,노멀,주방장,주방에서 맡은 음식 제작 시간 속도 (50%) 효율 증가,맡은 음식 제작 효율 상승,6,STAFF_SKILL04,담당 음식 제작 속도 증가!,25초,160초,"가챠,토큰",5,40
STAFF21,판다 멜로,불평이 많지만 어디든 깔끔하게 청소하는 멜로.,0.6,2,노멀,청소부,쓰레기 & 코인 수집(기본 속도6.0),자동 테이블 정리,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF22,제리,시니컬하지만 맡은 일은 묵묵히 해내는 청소부 제리.,0.15,4,유니크,청소부,쓰레기 & 코인 수집(기본 속도8.5),자동 테이블 정리,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF23,피크,아무일도 안하는 것 같지만 효율적으로 일을 다 해낸다. 근데 맨날 노는 것 같아 보인다.,0.2,3,레어,청소부,쓰레기 & 코인 수집(기본 속도7.0),자동 테이블 정리,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF24,비비,수줍은 요조숙녀 비비. 어딘가 비밀이 있어 보인다. 판다 맞아?,0.6,2,노멀,청소부,쓰레기 & 코인 수집(기본 속도6.0),자동 테이블 정리,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF25,카논,작은 키가 콤플렉스인 카논. 자신을 내려다보는 건 질색이다.,0.05,5,스페셜,청소부,쓰레기 & 코인 수집(기본 속도10.0),자동 테이블 정리,10,STAFF_SKILL01,이동 속도 증가!,25초,105초,"가챠,토큰",50,500
STAFF26,베르베르,강렬한 카리스마로 진상을 퇴치. 사실은 귀여운걸 좋아함.,0.15,4,유니크,가드,진상 손님 퇴치(진상손님으로 순간이동 이후 퇴치에 5.0초 소요),빠르게 진상 손님 퇴치,0,STAFF_SKILL05,음식 판매 수입 증가!,35초,190초,"가챠,토큰",20,200
STAFF27,고든 팬지,부드러운 미소로 주방을 지휘하는 베테랑 요리사. 고든 팬지!,0.05,5,스페셜,주방장,주방에서 맡은 음식 제작 시간 속도 (200%) 효율 증가,맡은 음식 제작 효율 상승,10,STAFF_SKILL09,전체 음식 조리시간 단축!,1초,240초,"가챠,토큰",50,500
STAFF28,치치,지지의 동생. 손님에게는 상냥하지만 오빠만 보면 화가 나는듯,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF29,셰프 바라,이런들 어떠하고 저런들 어떠한듯 보인다. 사교성의 끝판왕,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF30,피터,폴의 형 피터. 능청떠는 성격과 달리 무술의 고수.,0.2,3,레어,가드,진상 손님 퇴치(진상손님으로 순간이동 이후 퇴치에 6.0초 소요),빠르게 진상 손님 퇴치,0,STAFF_SKILL08,손님 이동 속도 증가!,20초,145초,"가챠,토큰",10,100
STAFF31,호량,자신감 넘치는 웨이터 호량. 자신감에 비해 많이 덜렁거리는데?,0.6,2,노멀,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),음식을 손님에게 자동 배달,6,STAFF_SKILL01,이동 속도 증가!,15초,120초,"가챠,토큰",5,40
STAFF32,슈슈,어느 날 나타난 비밀스러운 청소부 슈슈.,0.15,4,유니크,청소부,쓰레기 & 코인 수집(기본 속도8.5),자동 테이블 정리,8.5,STAFF_SKILL05,음식 판매 수입 증가!,35초,190초,"가챠,토큰",20,200
STAFF33,웨이터 지지,깔끔한 정장 차림으로 정중한 서비스를 제공하는 지지.,0.2,3,레어,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),음식을 손님에게 자동 배달,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF34,햄버거 지지,햄버거 모자와 유쾌한 복장으로 웃음을 전하는 지지.,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF35,차이나 지지,밝고 명랑한 차이나풍 복장의 활발한 지지.,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF36,지지 도령,강한 책임감을 품은 무술 도복 차림의 장난꾸러기 지지.,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF37,베테랑 포야,온화한 미소로 손님을 맞으며 매끄러운 식당 운영을 책임지는 포야.,0.2,3,레어,매니저,테이블로 손님 자동 배치(1.6초),테이블로 손님 자동 배치,0,STAFF_SKILL05,음식 판매 수입 증가!,32초,195초,"가챠,토큰",10,100
STAFF38,팬 케이크 포야,달콤하게 손님을 맞이하는 포야.,0.15,4,유니크,매니저,테이블로 손님 자동 배치(1.4초),테이블로 손님 자동 배치,0,STAFF_SKILL08,손님 이동 속도 증가!,22초,140초,"가챠,토큰",20,200
STAFF39,책사 포야,냉철한 전략가 포야. 성이 제갈일 것만 같다.,0.05,5,스페셜,매니저,테이블로 손님 자동 배치(1.2초),테이블로 손님 자동 배치,0,STAFF_SKILL10,전체 스텝 속도 증가!,20초,220초,"가챠,토큰",50,500
STAFF40,포상궁,궁에서 갈고닦은 솜씨로 레스토랑의 질서를 세우겠어!,0.05,5,스페셜,매니저,테이블로 손님 자동 배치(1.2초),테이블로 손님 자동 배치,0,STAFF_SKILL10,전체 스텝 속도 증가!,20초,220초,"가챠,토큰",50,500
STAFF41,젠틀 토루루,깔끔한 매너로 손님들 마음까지 정중히 모시는 신사 토루루.,0.2,3,레어,치어리더,레스토랑으로 손님 자동 호출(1.0~6.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,17초,155초,"가챠,토큰",10,100
STAFF42,토루 번,빵 냄새를 맡고 손님보다 더 흥분한 토루루.,0.15,4,유니크,치어리더,레스토랑으로 손님 자동 호출(1.0~5.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,20초,150초,"가챠,토큰",20,200
STAFF43,차이나 걸 토루루,만두처럼 쫀득한 애교로 손님을 홀리는 토루루.,0.15,4,유니크,치어리더,레스토랑으로 손님 자동 호출(1.0~5.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,20초,150초,"가챠,토큰",20,200
STAFF44,토루꾼,나무 대신 손님을 베어오는 씩씩한 토루루.,0.15,4,유니크,치어리더,레스토랑으로 손님 자동 호출(1.0~5.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,20초,150초,"가챠,토큰",20,200
STAFF45,힙스터 도치,자존심이 강한 힙스터. 오늘도 레시피 연구에 음악은 필수!,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF46,차이나 루파,귀여운 딤섬 전문가. 최고의 요리실력!,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF47,케이크 루파,달콤한 실력을 갖고 있는 천재 요리사.,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF48,루파 도령,작은 손으로도 최고의 맛을 내는 천재 꼬마 요리사,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF49,성실한 멜로,무슨일인지 묵묵하게 가게를 빛내주는 청소의 달인.,0.2,3,레어,청소부,쓰레기 & 코인 수집(기본 속도7.0),자동 테이블 정리,7,STAFF_SKILL05,음식 판매 수입 증가!,32초,195초,"가챠,토큰",10,100
STAFF50,멜로 프라이,흘린 감자튀김을 그만 주워먹어야하는 멜로.,0.15,4,유니크,청소부,쓰레기 & 코인 수집(기본 속도8.5),자동 테이블 정리,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF51,베스트 멜로,청소하다 말고 갑자기 쿵푸 동작을 보여주는 엉뚱한 멜로.,0.2,3,레어,청소부,쓰레기 & 코인 수집(기본 속도7.0),자동 테이블 정리,7,STAFF_SKILL06,팁 증가!,32초,195초,"가챠,토큰",10,100
STAFF52,멜로 도령,어째서인지 뒷짐을 지고 헛기침을 하며 청소하는 멜로.,0.2,3,레어,청소부,쓰레기 & 코인 수집(기본 속도7.0),자동 테이블 정리,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF53,웨이터 추추,실수투성이 허당끼 넘치는 꼬마 웨이터.,0.2,3,레어,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),음식을 손님에게 자동 배달,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF54,베테랑 판다 마쉬,단정하게 봉투 속에 숨은 듬직한 매니저.,0.2,3,레어,매니저,테이블로 손님 자동 배치(1.6초),테이블로 손님 자동 배치,0,STAFF_SKILL05,음식 판매 수입 증가!,32초,195초,"가챠,토큰",10,100
STAFF55,웨이트리스 샐린,장사라면 누구보다 똑부러지는 웨이트리스,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF56,젠틀 라라,뭔가 알 수 없는 우아함. 과연 그녀의 정체는?,0.2,3,레어,치어리더,레스토랑으로 손님 자동 호출(1.0~6.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,17초,155초,"가챠,토큰",10,100
STAFF57,젠틀 와와,일하는 중에 물리지 않도록 조심해야해!,0.2,3,레어,치어리더,레스토랑으로 손님 자동 호출(1.0~6.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,17초,155초,"가챠,토큰",10,100
STAFF58,젠틀 염소아치,투박한 겉모습 뒤에 숨은 다정함. 츤데레 주방장,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF59,젠틀 루파,장난꾸러기 같지만 레스토랑의 비밀 병기.,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL04,담당 음식 제작 속도 증가!,27초,155초,"가챠,토큰",10,100
STAFF60,젠틀 양아치,꾸며본 리본에 사실 쑥스러워 하고 있는 중.,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL04,담당 음식 제작 속도 증가!,27초,155초,"가챠,토큰",10,100
STAFF61,젠틀 비비,쑥스럽지만 유니폼을 마음에 들어하는 중.,0.15,4,유니크,청소부,쓰레기 & 코인 수집(기본 속도8.5),자동 테이블 정리,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF62,웨이터 호량,유니폼을 입은 호량은 누구보다 당당!,0.2,3,레어,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),음식을 손님에게 자동 배달,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF63,추추콘,서빙 전에 다 먹어버린다!,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF64,캔디 마쉬,사탕 가게 사장님이된 마쉬,0.05,5,스페셜,매니저,테이블로 손님 자동 배치(1.2초),테이블로 손님 자동 배치,0,STAFF_SKILL10,전체 스텝 속도 증가!,20초,220초,"가챠,토큰",50,500
STAFF65,스윗 샐린,유니폼이 마음에 드는걸?,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF66,스윗 라라,평소 옷과 비슷해서 마음에 들어 하는 중,0.2,3,레어,치어리더,레스토랑으로 손님 자동 호출(1.0~6.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,17초,155초,"가챠,토큰",10,100
STAFF67,캔디 와와,내 머리 위에 캔디 누가 올렸어,0.15,4,유니크,치어리더,레스토랑으로 손님 자동 호출(1.0~5.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,20초,150초,"가챠,토큰",20,200
STAFF68,스윗 염소아치,이런걸 입어야한다고?,0.05,5,스페셜,주방장,주방에서 맡은 음식 제작 시간 속도 (200%) 효율 증가,맡은 음식 제작 효율 상승,10,STAFF_SKILL09,전체 음식 조리시간 단축!,1초,240초,"가챠,토큰",50,500
STAFF69,도넛치,둠칫 둠칫,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF70,코튼 캔디치,단내 때문에 어지러워,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF71,스윗 비비,유니폼 마음에 들어!,0.15,4,유니크,청소부,쓰레기 & 코인 수집(기본 속도8.5),자동 테이블 정리,8.5,STAFF_SKILL08,손님 이동 속도 증가!,22초,140초,"가챠,토큰",20,200
STAFF72,호량콘,아이스크림 콘 호량!,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL08,손님 이동 속도 증가!,22초,140초,"가챠,토큰",20,200
STAFF73,탕추추,그냥 탕후루 먹고 있는 동네 꼬마,0.2,3,레어,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),음식을 손님에게 자동 배달,7,STAFF_SKILL05,음식 판매 수입 증가!,32초,195초,"가챠,토큰",10,100
STAFF74,쿵푸 마쉬,쿵푸를 사랑하지만 실력은 딱히?,0.15,4,유니크,매니저,테이블로 손님 자동 배치(1.4초),테이블로 손님 자동 배치,0,STAFF_SKILL08,손님 이동 속도 증가!,22초,140초,"가챠,토큰",20,200
STAFF75,샤오 린,웃음 뒤에 숨겨진 엄청난 실력,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF76,라라 메이,세상 물정 모르는 공주님은 서민 체험중,0.2,3,레어,치어리더,레스토랑으로 손님 자동 호출(1.0~6.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,17초,155초,"가챠,토큰",10,100
STAFF77,샤오룽 와,짜증이 많지만 사실은 따뜻한 마음의 소유자,0.15,4,유니크,치어리더,레스토랑으로 손님 자동 호출(1.0~5.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,20초,150초,"가챠,토큰",20,200
STAFF78,염사부,혹독하게 수련시키는 사부님,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF79,차이나 도치,특유의 리듬감으로 조리하는 고수 셰프,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL04,담당 음식 제작 속도 증가!,27초,155초,"가챠,토큰",10,100
STAFF80,마스터 양,제자에게만 따뜻한 마스터,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF81,홍비비,알 수 없는 표정에 숨겨진 화려한 무술,0.2,3,레어,청소부,쓰레기 & 코인 수집(기본 속도7.0),자동 테이블 정리,7,STAFF_SKILL06,팁 증가!,32초,195초,"가챠,토큰",10,100
STAFF82,호호량,작지만 대단한 권법의 고수,0.2,3,레어,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),음식을 손님에게 자동 배달,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF83,추도령,세상 물정 모르는 세상 해맑은 추도령,0.05,5,스페셜,웨이터,음식을 손님에게 자동 배달(기본 속도10.0),음식을 손님에게 자동 배달,10,STAFF_SKILL10,전체 스텝 속도 증가!,20초,220초,"가챠,토큰",50,500
STAFF84,마쉬 꾼,오늘도 나무하기 귀찮아서 놀고 있다!,0.15,4,유니크,매니저,테이블로 손님 자동 배치(1.4초),테이블로 손님 자동 배치,0,STAFF_SKILL08,손님 이동 속도 증가!,22초,140초,"가챠,토큰",20,200
STAFF85,궁녀 샐린,궁궐에서 최고의 음식을 공부하고 왔습니다,0.15,4,유니크,웨이터,음식을 손님에게 자동 배달(기본 속도8.5),음식을 손님에게 자동 배달,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF86,염쇠,최강 머슴 듀오 양쇠와 끈끈한 콤비,0.2,3,레어,주방장,주방에서 맡은 음식 제작 시간 속도 (70%) 효율 증가,맡은 음식 제작 효율 상승,7,STAFF_SKILL01,이동 속도 증가!,17초,115초,"가챠,토큰",10,100
STAFF87,돌치,묵묵히 자기일하는 성실한 일꾼,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF88,양쇠,최강 머슴 듀오 염쇠와 끈끈한 콤비,0.15,4,유니크,주방장,주방에서 맡은 음식 제작 시간 속도 (100%) 효율 증가,맡은 음식 제작 효율 상승,8.5,STAFF_SKILL04,담당 음식 제작 속도 증가!,30초,150초,"가챠,토큰",20,200
STAFF89,단비비,단아한 자태 동양의 미,0.15,4,유니크,청소부,쓰레기 & 코인 수집(기본 속도8.5),자동 테이블 정리,8.5,STAFF_SKILL01,이동 속도 증가!,20초,110초,"가챠,토큰",20,200
STAFF90,복호량,예쁘게 입혀놨지만 언제 더러워 질지 모른다,0.05,5,스페셜,웨이터,음식을 손님에게 자동 배달(기본 속도10.0),음식을 손님에게 자동 배달,10,STAFF_SKILL10,전체 스텝 속도 증가!,20초,220초,"가챠,토큰",50,500
STAFF91,라라 아씨,세상 구경하러 몰래 나오신 라라 아씨,0.15,4,유니크,치어리더,레스토랑으로 손님 자동 호출(1.0~5.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,20초,150초,"가챠,토큰",20,200
STAFF92,와부,밥풀이나 먹어라!,0.2,3,레어,치어리더,레스토랑으로 손님 자동 호출(1.0~6.0초),레스토랑으로 손님 자동 호출,0,STAFF_SKILL03,손님 빠르게 모으기!,17초,155초,"가챠,토큰",10,100
