ID,이름,설명,가챠 확률,평점 증가,분당 증가 팁,희귀도(별),등급,구매 수단,금액,착용시 강화 TYPE ID,단위,스킨 적용 ID,비고
SKIN_CUSTOMER11,라미,겨울 털양\n벨라와 함께 추운 지방에서 도시로 올라왔다 더운 걸 싫어한다,0.2,0,0,3,레어,가챠,,,,CUSTOMER11,
SKIN_CUSTOMER12,테디,멋쟁이 리본 곰돌이\n귀여운 자신을 뽐내는 일을 즐긴다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE02,5%,CUSTOMER01,
SKIN_CUSTOMER13,루루,채식주의자 고양이\n삼색이와 원수 관계로 매일 싸운다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE01,5%,CUSTOMER02,
SKIN_CUSTOMER14,로키,가을 여우\n사실 갈색 털을 가진 여우인데 빨간색으로 털 염색을 했다,0.2,0,0,3,레어,가챠,,,,CUSTOMER03,
SKIN_CUSTOMER15,카우리,요리사 젖소\n같은 젖소인 밀키와 함께 살고 있다,0.2,0,0,3,레어,가챠,,,,CUSTOMER04,
SKIN_CUSTOMER16,루피,공포영화 마니아\n오컬트와 악마에 대해 관심이 많다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE04,10%,CUSTOMER05,
SKIN_CUSTOMER17,헨리,건강미 넘치는 닭\n뜨거운 해에 자신의 털을 그을리는 취미가 있다,0.2,0,0,3,레어,가챠,,,,CUSTOMER06,
SKIN_CUSTOMER18,로버,동물구조견\n힘을 많이 쓰는 만큼 밥을 많이 먹는다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE01,5%,CUSTOMER07,
SKIN_CUSTOMER19,펭구,여행을 좋아하는 용감한 아델리\n용기를 빼면 시체만 남는다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE05,5%,CUSTOMER08,
SKIN_CUSTOMER20,디어리,빨간 사슴\n멋진 가짜 뿔은 나무로 만들어졌다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE01,5%,CUSTOMER09,
SKIN_CUSTOMER21,구피,옆 가게 빵집 사자\n구피가 만든 빵은 전부 발톱 자국이 찍혀있다,0.2,0,0,3,레어,가챠,,,,CUSTOMER10,
SKIN_CUSTOMER22,바,산에서 내려온 양\n가게 음식을 맛보고는 풀 뜯는 생활을 접고 가게 단골이 되었다,0.15,0,0,4,유니크,가챠,,SKIN_CUSTOMER_UPGRADE02,5%,CUSTOMER11,
SKIN_CUSTOMER23,브레드리,구피 빵집의 마스코트\n귀에는 달달한 팥앙금이 들어있다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE02,10%,CUSTOMER01,
SKIN_CUSTOMER24,베리 캣,딸기 무스 고양이\n딸기로 귀를 만들어 맛과 귀여움을 더했다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE01,10%,CUSTOMER02,
SKIN_CUSTOMER25,코니,아이스크림 여우\n바닐라맛 아이스크림에 시나몬이 뿌려져있다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE05,10%,CUSTOMER03,
SKIN_CUSTOMER26,베리 밀,딸기우유 젖소\n화학 성분이 없는 딸기 100% 젖소이다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE01,10%,CUSTOMER04,
SKIN_CUSTOMER27,캐롯,당근 토끼\n동물들 중 가장 향이 강하며 어린 동물에게 인기가 없다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE02,10%,CUSTOMER05,
SKIN_CUSTOMER28,멜로디,딸기 닭\n곁에 있으면 딸기 향이 물신 풍긴다 맛은 없다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE05,10%,CUSTOMER06,
SKIN_CUSTOMER29,타키,타코야끼 강아지\n머리의 가쓰오부시는 멋내기 용도이다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE04,15%,CUSTOMER07,
SKIN_CUSTOMER30,모찌,찰떡 아이스 펭귄\n녹지 않기 위해 매일 얼음을 먹으며 애쓴다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE05,10%,CUSTOMER08,
SKIN_CUSTOMER31,버티,팬케이크 사슴\n여름엔 버터가 녹아 풍미가 깊어진다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE01,10%,CUSTOMER09,
SKIN_CUSTOMER32,글레이즈,도넛 사자\n소중한 갈기를 매일 녹인 설탕으로 코팅한다,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE02,10%,CUSTOMER10,
SKIN_CUSTOMER33,코튼,솜사탕 양. 솜사탕처럼 달콤한 향이 난다. 한입 물면 털 맛이 난다.,0.05,0,0,5,스페셜,가챠,,SKIN_CUSTOMER_UPGRADE05,10%,CUSTOMER11,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SKIN_CUSTOMER34,애플 베어,,,,,6,리미트,,,UPGRADE31,,,한정판(미출시)
SKIN_CUSTOMER35,애플 캣,,,,,6,리미트,,,UPGRADE32,,,한정판(미출시)
SKIN_CUSTOMER36,애플 폭스,,,,,6,리미트,,,UPGRADE33,,,한정판(미출시)
SKIN_CUSTOMER37,애플 카우,,,,,6,리미트,,,UPGRADE34,,,한정판(미출시)
SKIN_CUSTOMER38,애플 버니,,,,,6,리미트,,,UPGRADE35,,,한정판(미출시)
SKIN_CUSTOMER39,애플 칙,,,,,6,리미트,,,UPGRADE36,,,한정판(미출시)
SKIN_CUSTOMER40,애플 도그,,,,,6,리미트,,,UPGRADE37,,,한정판(미출시)
SKIN_CUSTOMER41,애플 팽,,,,,6,리미트,,,UPGRADE38,,,한정판(미출시)
SKIN_CUSTOMER42,애플 디어,,,,,6,리미트,,,UPGRADE39,,,한정판(미출시)
SKIN_CUSTOMER43,애플 메인,,,,,6,리미트,,,UPGRADE40,,,한정판(미출시)
SKIN_CUSTOMER44,애플 리스,,,,,6,리미트,,,UPGRADE41,,,한정판(미출시)
SKIN_CUSTOMER45,스티치,,,,,6,리미트,,,UPGRADE31,,,한정판(미출시)
SKIN_CUSTOMER46,펠티,,,,,6,리미트,,,UPGRADE32,,,한정판(미출시)
SKIN_CUSTOMER47,위플,,,,,6,리미트,,,UPGRADE33,,,한정판(미출시)
SKIN_CUSTOMER48,패치우,,,,,6,리미트,,,UPGRADE34,,,한정판(미출시)
SKIN_CUSTOMER49,플러피,,,,,6,리미트,,,UPGRADE35,,,한정판(미출시)
SKIN_CUSTOMER50,칙스,,,,,6,리미트,,,UPGRADE36,,,한정판(미출시)
SKIN_CUSTOMER51,패치,,,,,6,리미트,,,UPGRADE37,,,한정판(미출시)
SKIN_CUSTOMER52,팁탭,,,,,6,리미트,,,UPGRADE38,,,한정판(미출시)
SKIN_CUSTOMER53,블링크,,,,,6,리미트,,,UPGRADE39,,,한정판(미출시)
SKIN_CUSTOMER54,팰트리온,,,,,6,리미트,,,UPGRADE40,,,한정판(미출시)
SKIN_CUSTOMER55,램비,,,,,6,리미트,,,UPGRADE41,,,한정판(미출시)
SKIN_CUSTOMER56,푸디 베어,,,,,6,리미트,,,UPGRADE31,,,한정판(미출시)
SKIN_CUSTOMER57,푸디 캣,,,,,6,리미트,,,UPGRADE32,,,한정판(미출시)
SKIN_CUSTOMER58,푸디 폭스,,,,,6,리미트,,,UPGRADE33,,,한정판(미출시)
SKIN_CUSTOMER59,푸디 카우,,,,,6,리미트,,,UPGRADE34,,,한정판(미출시)
SKIN_CUSTOMER60,푸디 버니,,,,,6,리미트,,,UPGRADE35,,,한정판(미출시)
SKIN_CUSTOMER61,푸디 칙,,,,,6,리미트,,,UPGRADE36,,,한정판(미출시)
SKIN_CUSTOMER62,푸디 도그,,,,,6,리미트,,,UPGRADE37,,,한정판(미출시)
SKIN_CUSTOMER63,푸디 팽,,,,,6,리미트,,,UPGRADE38,,,한정판(미출시)
SKIN_CUSTOMER64,푸디어,,,,,6,리미트,,,UPGRADE39,,,한정판(미출시)
SKIN_CUSTOMER65,푸디오,,,,,6,리미트,,,UPGRADE40,,,한정판(미출시)
SKIN_CUSTOMER66,푸램,,,,,6,리미트,,,UPGRADE41,,,한정판(미출시)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
보류,바둑이의 메달,일반 손님 '바둑이'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,흑우의 메달,일반 손님 '흑우'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,미오의 메달,일반 손님 '미오'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,로키의 메달,일반 손님 '로키'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,삼색이의 메달,일반 손님 '삼색이'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,펭구의 메달,일반 손님 '펭구'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,테디의 메달,일반 손님 '테디'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,리오의 메달,일반 손님 '리오'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
보류,고양 왕족의 메달,일반 손님 '진&레아'가 등장 한다!,0.05,100,100,5,스페셜,,,,,,
